id,F1,F2,F3
ae,678,2293,2861
ae,624,2442,3091
ae,666,2370,2814
ae,743,2230,3055
ae,677,2320,2987
ae,627,2266,2875
ae,690,2327,2771
ae,658,2650,3471
ae,685,2299,2930
ae,621,2249,2873
ae,868,2004,2797
ae,682,2486,3207
ae,668,2252,2790
ae,726,2350,2996
ae,620,2316,2849
ae,634,2596,3255
ae,672,2145,2764
ae,698,2339,3075
ae,586,2299,2748
ae,616,2156,2865
ae,576,2429,3101
ae,674,2256,2818
ae,738,2378,3305
ae,646,2406,3283
ae,746,1944,2927
ae,734,2518,3176
ae,662,2276,2955
ae,696,2447,3122
ae,687,2378,2913
ae,645,2154,3139
ae,626,2374,2836
ae,689,2701,3490
ae,557,2586,3202
ae,668,2296,2711
ae,746,2371,2984
ae,893,2070,3024
ae,665,2408,3034
ae,564,2442,0
ae,714,2254,2625
ae,625,2594,3146
ae,552,2227,2978
ae,685,2205,2813
ae,657,2192,2654
ae,649,2508,3050
ae,817,2102,2711
ae,626,2331,2826
ae,706,2400,2923
ae,751,2432,2896
ah,1012,1603,2767
ah,883,1682,2962
ah,1025,1548,2748
ah,804,1484,2789
ah,935,1377,2598
ah,804,1363,2803
ah,939,1233,2564
ah,827,1701,3056
ah,913,1436,2589
ah,856,1540,2667
ah,882,1380,2834
ah,887,1743,2557
ah,869,1495,2731
ah,994,1609,2930
ah,955,1615,2678
ah,1085,1687,2870
ah,937,1623,2844
ah,918,1640,2801
ah,818,1351,2933
ah,769,1451,2898
ah,1008,1495,3018
ah,905,1514,2848
ah,1063,1680,2785
ah,1053,1677,2868
ah,798,1351,2851
ah,869,1751,2762
ah,863,1538,3038
ah,938,1462,2825
ah,957,1591,2733
ah,827,1543,2980
ah,708,1547,2426
ah,1163,1685,3250
ah,1011,1541,2803
ah,1035,1486,2865
ah,952,1676,2862
ah,810,1314,3236
ah,993,1671,2751
ah,931,1348,2698
ah,822,1371,3130
ah,875,1491,2979
ah,884,1568,2819
ah,938,1492,2673
ah,914,1383,2854
ah,901,1509,2670
ah,975,1534,2658
ah,796,1502,2810
ah,1145,0,3272
ah,968,1433,2850
aw,815,1200,2783
aw,760,1225,2796
aw,772,1051,2870
aw,770,1245,2811
aw,923,1368,2503
aw,778,1220,2677
aw,809,1097,2646
aw,815,1426,2990
aw,890,1063,2523
aw,771,1170,2760
aw,755,1114,2766
aw,930,1422,2489
aw,697,1142,2507
aw,748,1063,2876
aw,827,1189,2633
aw,847,1192,2999
aw,794,1185,2896
aw,848,1175,2892
aw,713,1132,2948
aw,698,1127,2886
aw,736,1120,3055
aw,835,1326,2667
aw,907,1527,3075
aw,811,1254,2824
aw,656,1075,2684
aw,890,1292,2801
aw,860,1504,2834
aw,740,1037,2736
aw,867,1207,2746
aw,776,1324,2852
aw,699,1104,2513
aw,906,1386,3066
aw,814,1144,2729
aw,801,1187,2935
aw,822,1177,2950
aw,851,1105,3249
aw,825,1213,2751
aw,752,1101,2616
aw,765,997,3477
aw,957,0,3066
aw,799,1146,2770
aw,715,963,2455
aw,790,1044,2933
aw,850,1182,2909
aw,813,1117,2585
aw,736,1098,2821
aw,677,1054,3278
aw,995,1359,2941
eh,734,1893,2820
eh,740,2186,3086
eh,707,2110,3028
eh,693,1991,3121
eh,743,1981,2868
eh,712,1881,2777
eh,734,2141,2746
eh,732,2189,3366
eh,710,2138,2818
eh,704,2023,2927
eh,766,1922,2908
eh,673,2389,2989
eh,651,2157,2794
eh,817,2242,3139
eh,684,1992,2951
eh,756,2008,3089
eh,750,1935,2930
eh,706,1986,3228
eh,717,2256,2896
eh,727,1871,2902
eh,584,2175,2930
eh,762,1902,2887
eh,981,2075,3215
eh,794,2046,3082
eh,620,2071,2933
eh,741,1997,2567
eh,693,2012,3003
eh,597,2426,3018
eh,886,2186,2956
eh,588,2130,2870
eh,755,1762,2646
eh,885,2322,3652
eh,804,1998,2775
eh,718,2005,2906
eh,773,2042,3009
eh,694,2160,3144
eh,680,2068,3072
eh,694,2052,2838
eh,726,2123,2959
eh,714,2255,2941
eh,623,1882,3007
eh,718,1952,2817
eh,758,2091,2829
eh,676,2196,3124
eh,770,1866,2653
eh,683,1851,2877
eh,690,2082,2647
eh,817,1984,2973
ei,539,2476,2868
ei,477,2704,0
ei,672,2457,3190
ei,601,2577,3091
ei,487,2600,3130
ei,492,2437,3001
ei,553,2458,2788
ei,496,2665,3173
ei,505,2777,3044
ei,455,2433,3023
ei,574,2316,2854
ei,502,2674,3394
ei,647,2539,0
ei,596,2478,2924
ei,500,2482,3060
ei,617,2697,3154
ei,558,2505,2855
ei,572,2428,3120
ei,574,2360,2686
ei,498,2218,2894
ei,511,2574,3085
ei,513,2435,2939
ei,617,2668,3319
ei,610,2598,3323
ei,485,2423,2912
ei,578,2474,3055
ei,507,2573,3121
ei,504,2501,3050
ei,494,2680,3156
ei,487,2408,3094
ei,547,2262,2708
